gene,actual_label,predicted_label,gc_content,at_content,tata_box,dinuc_repeat_count ,has_gc_box,has_initiator,shannon_entropy,kmer_CGG,kmer_GGA,kmer_GAA,kmer_AAG,kmer_AGA,kmer_GAT,kmer_ATG,kmer_TGT,kmer_GTT,kmer_TTG,kmer_TGA,kmer_GAG,kmer_AGC,kmer_GCA,kmer_CAA,kmer_AAA,kmer_CAC,kmer_ACT,kmer_CTA,kmer_TAG,kmer_GCT,kmer_CTT,kmer_TTT,kmer_TTC,kmer_TCA,kmer_TTA,kmer_TAT,kmer_ATA,kmer_TAA,kmer_CTG,kmer_AAC,kmer_ACA,kmer_CAG,kmer_AGG,kmer_GGT,kmer_TCC,kmer_CCA,kmer_GAC,kmer_TGG,kmer_GTA,kmer_ATT,kmer_GTC,kmer_CCT,kmer_CAT,kmer_GTG,kmer_TCT,kmer_TAC,kmer_AGT,kmer_AAT,kmer_GGG,kmer_GGC,kmer_CTC,kmer_TGC,kmer_CCC,kmer_ACC,kmer_ATC,kmer_ACG,kmer_CGT,kmer_GCC,kmer_CGC,kmer_TCG,kmer_CCG,kmer_CGA,kmer_GCG,kmer_NNN,kmer_TGN,kmer_GNA,kmer_NAG
F5,Low,High,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9orf72,High,High,0.4275724275724276,0.5724275724275725,0,2,0,1,1.9798446602994635,5.0,12.0,18.0,24.0,29.0,8.0,14.0,19.0,11.0,14.0,14.0,20.0,19.0,18.0,21.0,34.0,30.0,22.0,16.0,10.0,16.0,21.0,16.0,19.0,25.0,21.0,23.0,13.0,17.0,16.0,9.0,29.0,30.0,17.0,9.0,13.0,23.0,11.0,13.0,17.0,22.0,8.0,10.0,14.0,14.0,27.0,17.0,19.0,23.0,6.0,14.0,22.0,12.0,11.0,11.0,19.0,6.0,3.0,13.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
C9orf72,High,High,0.46853146853146854,0.5314685314685315,0,1,0,1,1.9904329946162838,11.0,8.0,12.0,16.0,27.0,5.0,7.0,15.0,14.0,8.0,16.0,16.0,13.0,12.0,13.0,12.0,36.0,34.0,27.0,12.0,18.0,16.0,11.0,18.0,22.0,21.0,27.0,15.0,9.0,19.0,5.0,39.0,33.0,26.0,12.0,19.0,26.0,20.0,6.0,11.0,16.0,4.0,15.0,16.0,12.0,32.0,26.0,11.0,13.0,18.0,23.0,37.0,9.0,8.0,8.0,23.0,6.0,3.0,16.0,2.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
F2,Low,Low,0.42157842157842157,0.5784215784215784,1,2,0,0,1.9746514119411873,1.0,9.0,20.0,21.0,20.0,7.0,20.0,20.0,9.0,18.0,17.0,9.0,17.0,13.0,23.0,32.0,20.0,14.0,16.0,10.0,19.0,21.0,42.0,16.0,21.0,17.0,21.0,24.0,16.0,23.0,19.0,33.0,21.0,11.0,5.0,18.0,23.0,11.0,17.0,6.0,21.0,14.0,27.0,26.0,13.0,17.0,16.0,13.0,19.0,4.0,15.0,17.0,20.0,14.0,14.0,9.0,5.0,4.0,21.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
