gene_id,snp_density,expression_level
FBti0019045-RA,0.0,0.0
FBti0019046-RA,0.0,0.0
FBti0019047-RA,0.0,0.0
FBti0019048-RA,0.0,0.0
FBti0019049-RA,0.0,0.0
FBti0019050-RA,0.0,0.0
FBti0019051-RA,0.0,0.0
FBti0019052-RA,0.0,0.0
FBti0019053-RA,0.0,0.0
FBti0019054-RA,0.0,0.0
FBti0019055-RA,0.0,0.0
FBti0019056-RA,0.0,0.0
FBti0019057-RA,0.0,0.0
FBti0019058-RA,0.0,0.0
FBti0019059-RA,0.0,0.0
FBti0019060-RA,0.0,0.0
FBti0019061-RA,0.0,0.0
FBti0019062-RA,0.0,0.0
FBti0019063-RA,0.0,0.0
FBti0019064-RA,0.0,0.0
FBti0019065-RA,0.0,0.0
FBti0019066-RA,0.0,0.0
FBti0019067-RA,0.0,0.0
FBti0019068-RA,0.0,0.0
FBti0019069-RA,0.0,0.0
FBti0019070-RA,0.0,0.0
FBti0019071-RA,0.0,0.0
FBti0019072-RA,0.0,0.0
FBti0019073-RA,0.0,0.0
FBti0019074-RA,0.0046296296296296,0.0
FBti0019075-RA,0.0,0.0
FBti0019076-RA,0.0,0.0
FBti0019077-RA,0.0,0.0
FBti0019078-RA,0.0,0.0
FBti0019079-RA,0.0,0.0
FBti0019080-RA,0.0,0.0
FBti0019081-RA,0.0,0.0
FBti0019082-RA,0.0,0.0
FBti0019083-RA,0.0,0.0
FBti0019084-RA,0.0,0.0
FBti0019085-RA,0.0,0.0
FBti0019086-RA,0.0,0.0
FBti0019087-RA,0.0,0.0
FBti0019088-RA,0.0,0.0
FBti0019089-RA,0.0,0.0
FBti0019090-RA,0.0,0.0
FBti0019091-RA,0.0,0.0
FBti0019472-RA,0.0105363984674329,0.0
FBti0019473-RA,0.0,0.0
FBti0019474-RA,0.0042553191489361,0.0
FBti0019475-RA,0.0056497175141242,0.0
FBti0019476-RA,0.0112359550561797,0.0
FBti0019480-RA,0.0044843049327354,0.0
FBti0019482-RA,0.0033500837520938,0.0
FBti0019483-RA,0.0060514372163388,0.0
FBti0019484-RA,0.0055350553505535,0.0
FBti0019485-RA,0.001860465116279,0.0
FBti0019486-RA,0.0091286307053941,0.0
FBti0019489-RA,0.0,0.0
FBti0019492-RA,0.0,0.0
FBti0019493-RA,0.0221169036334913,0.0
FBti0019494-RA,0.010377358490566,0.0
FBti0019495-RA,0.0,0.0
FBti0019497-RA,0.0,0.0
FBti0019498-RA,0.0,0.0
FBti0019499-RA,0.0,0.0
FBti0019500-RA,0.0,0.0
FBti0019501-RA,0.0,0.0
FBti0019502-RA,0.0,0.0
FBti0019503-RA,0.0,0.0
FBti0019504-RA,0.0,0.0
FBti0019507-RA,0.0,0.0
FBti0019508-RA,0.0,0.0
FBti0019509-RA,0.0,0.0
FBti0019510-RA,0.0,0.0
FBti0019511-RA,0.0,0.0
FBti0019512-RA,0.0,0.0
FBti0019513-RA,0.0,0.0
FBti0019514-RA,0.0,0.0
FBti0019515-RA,0.0,0.0
FBti0019516-RA,0.0,0.0
FBti0019517-RA,0.0783783783783783,0.0
FBti0019518-RA,0.0,0.0
FBti0019519-RA,0.0,0.0
FBti0019520-RA,0.008130081300813,0.0
FBti0019521-RA,0.0,0.0
FBti0019522-RA,0.0,0.0
FBti0019523-RA,0.0,0.0
FBti0019524-RA,0.0,0.0
FBti0019525-RA,0.0,0.0
FBti0019526-RA,0.0,0.0
FBti0019527-RA,0.0,0.0
FBti0019528-RA,0.0220588235294117,0.0
FBti0019529-RA,0.0127462340672074,0.0
FBti0019530-RA,0.0035211267605633,0.0
FBti0019531-RA,0.0,0.0
FBti0019532-RA,0.0,0.0
FBti0019534-RA,0.0,0.0
FBti0019536-RA,0.0,0.0
FBti0019537-RA,0.0,0.0
FBti0019538-RA,0.0,0.0
FBti0019539-RA,0.0,0.0
FBti0019540-RA,0.0,0.0
FBti0019541-RA,0.0,0.0
FBti0019542-RA,0.0,0.0
FBti0019543-RA,0.0,0.0
FBti0019544-RA,0.0,0.0
FBti0019545-RA,0.0,0.0
FBti0019546-RA,0.0,0.0
FBti0019547-RA,0.0,0.0
FBti0019548-RA,0.0,0.0
FBti0019549-RA,0.0,0.0
FBti0019550-RA,0.0,0.0
FBti0019551-RA,0.0,0.0
FBti0019552-RA,0.0,0.0
FBti0019553-RA,0.0,0.0
FBti0019554-RA,0.0,0.0
FBti0019555-RA,0.0,0.0
FBti0019556-RA,0.0,0.0
FBti0019557-RA,0.0,0.0
FBti0019558-RA,0.0,0.0
FBti0019560-RA,0.0,0.0
FBti0019562-RA,0.0,0.0
FBti0019563-RA,0.0,0.0
FBti0019564-RA,0.0,0.0
FBti0019565-RA,0.0,0.0
FBti0019566-RA,0.0,0.0
FBti0019567-RA,0.0,0.0
FBti0019568-RA,0.0,0.0
FBti0019569-RA,0.0,0.0
FBti0019570-RA,0.0,0.0
FBti0019571-RA,0.0,0.0
FBti0019572-RA,0.0,0.0
FBti0019573-RA,0.0,0.0
FBti0019574-RA,0.0,0.0
FBti0019576-RA,0.0,0.0
FBti0019578-RA,0.0,0.0
FBti0019579-RA,0.0,0.0
FBti0019580-RA,0.0,0.0
FBti0019581-RA,0.0,0.0
FBti0019582-RA,0.0,0.0
FBti0019583-RA,0.0,0.0
FBti0019584-RA,0.0,0.0
FBti0019585-RA,0.0,0.0
FBti0019586-RA,0.0,0.0
FBti0019587-RA,0.0,0.0
FBti0019588-RA,0.0,0.0
FBti0019589-RA,0.0,0.0
FBti0019590-RA,0.0,0.0
FBti0019591-RA,0.0,0.0
FBti0019592-RA,0.0,0.0
FBti0019593-RA,0.0,0.0
FBti0019594-RA,0.0,0.0
FBti0019595-RA,0.0,0.0
FBti0019596-RA,0.0,0.0
FBti0019597-RA,0.0,0.0
FBti0019598-RA,0.0,0.0
FBti0019599-RA,0.0,0.0
FBti0019600-RA,0.0,0.0
FBti0019601-RA,0.0,0.0
FBti0019602-RA,0.0,0.0
FBti0019603-RA,0.0,0.0
FBti0019604-RA,0.0,0.0
FBti0019605-RA,0.0,0.0
FBti0019606-RA,0.0,0.0
FBti0019608-RA,0.0,0.0
FBti0019609-RA,0.0,0.0
FBti0019610-RA,0.0,0.0
FBti0019611-RA,0.0,0.0
FBti0019612-RA,0.0,0.0
FBti0019613-RA,0.0,0.0
FBti0019614-RA,0.0,0.0
FBti0019615-RA,0.0,0.0
FBti0019616-RA,0.0,0.0
FBti0019617-RA,0.0,0.0
FBti0019618-RA,0.0,0.0
FBti0019619-RA,0.0,0.0
FBti0019620-RA,0.0,0.0
FBti0019621-RA,0.0,0.0
FBti0019622-RA,0.0,0.0
FBti0019623-RA,0.0,0.0
FBti0019624-RA,0.0,0.0
FBti0019625-RA,0.0,0.0
FBti0019626-RA,0.0,0.0
FBti0019627-RA,0.0,0.0
FBti0019628-RA,0.0,0.0
FBti0019629-RA,0.0,0.0
FBti0019630-RA,0.0,0.0
FBti0019631-RA,0.0,0.0
FBti0019632-RA,0.0,0.0
FBti0019633-RA,0.0,0.0
FBti0019634-RA,0.0,0.0
FBti0019635-RA,0.0,0.0
FBti0019636-RA,0.0,0.0
FBti0019637-RA,0.0,0.0
FBti0019638-RA,0.0,0.0
FBti0019639-RA,0.0,0.0
FBti0019644-RA,0.0,0.0
FBti0019646-RA,0.0,0.0
FBti0019647-RA,0.0,0.0
FBti0019648-RA,0.0,0.0
FBti0019649-RA,0.0,0.0
FBti0019650-RA,0.0,0.0
FBti0019651-RA,0.0,0.0
FBti0019652-RA,0.0,0.0
FBti0019653-RA,0.0,0.0
FBti0019654-RA,0.0,0.0
FBti0019655-RA,0.0,0.0
FBti0019656-RA,0.0,0.0
FBti0019657-RA,0.0,0.0
FBti0019658-RA,0.0,0.0
FBti0019659-RA,0.0,0.0
FBti0019660-RA,0.0,0.0
FBti0019661-RA,0.0,0.0
FBti0019662-RA,0.0,0.0
FBti0019663-RA,0.0,0.0
FBti0019664-RA,0.0,0.0
FBti0019665-RA,0.0,0.0
FBti0019666-RA,0.0,0.0
FBti0019667-RA,0.0,0.0
FBti0019668-RA,0.0,0.0
FBti0019669-RA,0.0,0.0
FBti0019670-RA,0.0,0.0
FBti0019671-RA,0.0,0.0
FBti0019672-RA,0.0,0.0
FBti0019673-RA,0.0,0.0
FBti0019675-RA,0.0,0.0
FBti0019677-RA,0.0,0.0
FBti0019678-RA,0.0,0.0
FBti0019679-RA,0.0,0.0
FBti0019680-RA,0.0323574730354391,0.0
FBti0019683-RA,0.0,0.0
FBti0019685-RA,0.0086848635235732,0.0
FBti0019687-RA,0.0,0.0
FBti0019690-RA,0.0,0.0
FBti0019697-RA,0.03584229390681,0.0
FBti0019698-RA,0.0,0.0
FBti0019699-RA,0.0177195685670261,0.0
FBti0019700-RA,0.0148883374689826,0.0
FBti0019701-RA,0.0045871559633027,0.0
FBti0019702-RA,0.0295652173913043,0.0
FBti0019704-RA,0.0,0.0
FBti0019706-RA,0.0267175572519083,0.0
FBti0019707-RA,0.0053256861941827,0.0
FBti0019708-RA,0.0061868115285951,0.0
FBti0019709-RA,0.0080862533692722,0.0
FBti0019710-RA,0.0030071709461022,0.0
FBti0019711-RA,0.0,0.0
FBti0019712-RA,0.0,0.0
FBti0019713-RA,0.0434037692747001,0.0
FBti0019714-RA,0.0492753623188405,0.0
FBti0019715-RA,0.0357210357210357,0.0
FBti0019718-RA,0.0,0.0
FBti0019720-RA,0.036226930963773,0.0
FBti0019721-RA,0.0443740095087163,0.0
FBti0019722-RA,0.0060975609756097,0.0
FBti0019723-RA,0.0337301587301587,0.0
FBti0019724-RA,0.0093959731543624,0.0
FBti0019726-RA,0.0,0.0
FBti0019729-RA,0.0,0.0
FBti0019731-RA,0.0341959334565619,0.0
FBti0019732-RA,0.0213872832369942,0.0
FBti0019733-RA,0.0,0.0
FBti0019734-RA,0.0620915032679738,0.0
FBti0019735-RA,0.0,0.0
FBti0019736-RA,0.0075757575757575,0.0
FBti0019737-RA,0.0009451795841209,0.0
FBti0019738-RA,0.0,0.0
FBti0019739-RA,0.025453560790685,0.0
FBti0019740-RA,0.0263157894736842,0.0
FBti0019741-RA,0.0069783670621074,0.0
FBti0019742-RA,0.0265638389031705,0.0
FBti0019743-RA,0.0648648648648648,0.0
FBti0019744-RA,0.0222222222222222,0.0
FBti0019745-RA,0.0,0.0
FBti0019746-RA,0.0281954887218045,0.0
FBti0019747-RA,0.0,0.0
FBti0019748-RA,0.0216147488874761,0.0
FBti0020402-RA,0.0,0.0
FBti0020403-RA,0.0,0.0
FBti0020404-RA,0.0,0.0
FBti0020405-RA,0.0040268456375838,0.0
FBti0020406-RA,0.0135467980295566,0.0
FBti0020407-RA,0.0,0.0
FBti0020410-RA,0.0241409952606635,0.0
FBti0020412-RA,0.0070921985815602,0.0
FBti0020414-RA,0.006375227686703,0.0
FBti0020415-RA,0.0147569444444444,0.0
FBti0020416-RA,0.0,0.0
FBti0020417-RA,0.0,0.0
FBti0020418-RA,0.0020449897750511,0.0
FBti0020419-RA,0.0073421439060205,0.0
FBti0020420-RA,0.0,0.0
FBti0020421-RA,0.0,0.0
FBti0020422-RA,0.0,0.0
FBti0020423-RA,0.0,0.0
FBti0020424-RA,0.0064724919093851,0.0
FBti0020425-RA,0.0014749262536873,0.0
FBti0020426-RA,0.0061728395061728,0.0
FBti0020427-RA,0.007168458781362,0.0
FBti0020428-RA,0.0158730158730158,0.0
FBti0020430-RA,0.0145719489981785,0.0
FBti0020432-RA,0.0,0.0
FBti0020433-RA,0.0,0.0
FBti0020434-RA,0.0003819709702062,0.0
FBti0020435-RA,0.0,0.0
FBti0020436-RA,0.0,0.0
FBti0020437-RA,0.0,0.0
FBti0020438-RA,0.0,0.0
FBti0020439-RA,0.0,0.0
FBti0020440-RA,0.0,0.0
FBti0020441-RA,0.0,0.0
FBti0020442-RA,0.0,0.0
FBti0020446-RA,0.0,0.0
FBti0020448-RA,0.0213675213675213,0.0
FBti0020449-RA,0.0,0.0
FBti0020450-RA,0.0,0.0
FBti0020451-RA,0.0,0.0
FBti0020452-RA,0.0,0.0
FBti0020453-RA,0.0021800741225201,0.0
FBti0059638-RA,0.0,0.0
FBti0059649-RA,0.0147175815433572,0.0
FBti0059650-RA,0.0,0.0
FBti0059655-RA,0.0009230769230769,0.0
FBti0059674-RA,0.0,0.0
FBti0059678-RA,0.0027614773904038,0.0
FBti0059679-RA,0.0138169257340241,0.0
FBti0059680-RA,0.0017809439002671,0.0
FBti0059681-RA,0.0090579710144927,0.0
FBti0059682-RA,0.0112596762843068,0.0
FBti0059687-RA,0.0,0.0
FBti0059688-RA,0.004488950276243,0.0
FBti0059689-RA,0.0,0.0
FBti0059692-RA,0.0,0.0
FBti0059694-RA,0.0048076923076923,0.0
FBti0059696-RA,0.0,0.0
FBti0059697-RA,0.0037058412563409,0.0
FBti0059698-RA,0.0,0.0
FBti0059699-RA,0.0151336013241901,0.0
FBti0059707-RA,0.0,0.0
FBti0059708-RA,0.0006143764079459,0.0
FBti0059709-RA,0.0,0.0
FBti0059710-RA,0.0,0.0
FBti0059743-RA,0.0,0.0
FBti0059746-RA,0.0,0.0
FBti0059764-RA,0.0147612156295224,0.0
FBti0059765-RA,0.0,0.0
FBti0059766-RA,0.0041860465116279,0.0
FBti0059772-RA,0.0,0.0
FBti0059777-RA,0.0014996001066382,0.0
FBti0059782-RA,0.0,0.0
FBti0059914-RA,0.0,0.0
FBti0059925-RA,0.0,0.0
FBti0059926-RA,0.0,0.0
FBti0059936-RA,0.0263157894736842,0.0
FBti0059938-RA,0.0,0.0
FBti0059946-RA,0.0,0.0
FBti0059947-RA,0.0416666666666666,0.0
FBti0059951-RA,0.0555555555555555,0.0
FBti0059953-RA,0.0851063829787234,0.0
FBti0059960-RA,0.0166666666666666,0.0
FBti0059961-RA,0.0,0.0
FBti0059962-RA,0.0032679738562091,0.0
FBti0059963-RA,0.0,0.0
FBti0059964-RA,0.0085836909871244,0.0
FBti0059965-RA,0.0,0.0
FBti0059966-RA,0.0,0.0
FBti0059967-RA,0.0087719298245614,0.0
FBti0059968-RA,0.0,0.0
FBti0059969-RA,0.0161290322580645,0.0
FBti0059977-RA,0.004,0.0
FBti0059978-RA,0.0,0.0
FBti0059980-RA,0.0062972292191435,0.0
FBti0059981-RA,0.0,0.0
FBti0059983-RA,0.0,0.0
FBti0059984-RA,0.0174672489082969,0.0
FBti0059986-RA,0.0,0.0
FBti0059987-RA,0.0,0.0
FBti0059988-RA,0.0027247956403269,0.0
FBti0059990-RA,0.0,0.0
FBti0059991-RA,0.0168067226890756,0.0
FBti0059996-RA,0.0067567567567567,0.0
FBti0059998-RA,0.0229885057471264,0.0
FBti0059999-RA,0.0185185185185185,0.0
FBti0060000-RA,0.0142450142450142,0.0
FBti0060001-RA,0.0,0.0
FBti0060002-RA,0.0073529411764705,0.0
FBti0060003-RA,0.0,0.0
FBti0060004-RA,0.0,0.0
FBti0060005-RA,0.0,0.0
FBti0060006-RA,0.0,0.0
FBti0060007-RA,0.0,0.0
FBti0060009-RA,0.0,0.0
FBti0060010-RA,0.0333333333333333,0.0
FBti0060014-RA,0.0,0.0
FBti0060016-RA,0.0,0.0
FBti0060017-RA,0.0,0.0
FBti0060018-RA,0.0,0.0
FBti0060019-RA,0.0,0.0
FBti0060020-RA,0.0,0.0
FBti0060021-RA,0.0,0.0
FBti0060033-RA,0.0,0.0
FBti0060035-RA,0.0081743869209809,0.0
FBti0060036-RA,0.048780487804878,0.0
FBti0060037-RA,0.0,0.0
FBti0060038-RA,0.044776119402985,0.0
FBti0060039-RA,0.0,0.0
FBti0060040-RA,0.040650406504065,0.0
FBti0060041-RA,0.0,0.0
FBti0060042-RA,0.028391167192429,0.0
FBti0060043-RA,0.0,0.0
FBti0060045-RA,0.031578947368421,0.0
FBti0060047-RA,0.0491803278688524,0.0
FBti0060048-RA,0.057471264367816,0.0
FBti0060049-RA,0.0,0.0
FBti0060050-RA,0.0,0.0
FBti0060060-RA,0.0241545893719806,0.0
FBti0060061-RA,0.0458452722063037,0.0
FBti0060062-RA,0.0,0.0
FBti0060063-RA,0.0405405405405405,0.0
FBti0060065-RA,0.0094339622641509,0.0
FBti0060066-RA,0.012,0.0
FBti0060067-RA,0.0,0.0
FBti0060068-RA,0.0,0.0
FBti0060069-RA,0.0491803278688524,0.0
FBti0060076-RA,0.0,0.0
FBti0060077-RA,0.0,0.0
FBti0060082-RA,0.0,0.0
FBti0060083-RA,0.0,0.0
FBti0060084-RA,0.0,0.0
FBti0060087-RA,0.0,0.0
FBti0060088-RA,0.0390309555854643,0.0
FBti0060098-RA,0.0,0.0
FBti0060101-RA,0.0,0.0
FBti0060103-RA,0.0,0.0
FBti0060105-RA,0.0089232599643069,0.0
FBti0060106-RA,0.0,0.0
FBti0060109-RA,0.0018115942028985,0.0
FBti0060111-RA,0.0,0.0
FBti0060112-RA,0.0,0.0
FBti0060113-RA,0.0,0.0
FBti0060114-RA,0.0,0.0
FBti0060133-RA,0.0040650406504065,0.0
FBti0060134-RA,0.0,0.0
FBti0060135-RA,0.0,0.0
FBti0060136-RA,0.0,0.0
FBti0060137-RA,0.0,0.0
FBti0060138-RA,0.0,0.0
FBti0060139-RA,0.0,0.0
FBti0060140-RA,0.0,0.0
FBti0060141-RA,0.0,0.0
FBti0060142-RA,0.0,0.0
FBti0060143-RA,0.0,0.0
FBti0060144-RA,0.0,0.0
FBti0060160-RA,0.0273037542662116,0.0
FBti0060161-RA,0.0,0.0
FBti0060162-RA,0.0350194552529182,0.0
FBti0060163-RA,0.0,0.0
FBti0060177-RA,0.0,0.0
FBti0060178-RA,0.0393258426966292,0.0
FBti0060179-RA,0.0351397121083827,0.0
