gene_id,total_exon_length,snp_count,snp_density
FBti0019045-RA,292,0,0.0
FBti0019046-RA,1088,0,0.0
FBti0019047-RA,5520,0,0.0
FBti0019048-RA,3206,0,0.0
FBti0019049-RA,5965,0,0.0
FBti0019050-RA,4529,0,0.0
FBti0019051-RA,9093,0,0.0
FBti0019052-RA,5600,0,0.0
FBti0019053-RA,6154,0,0.0
FBti0019054-RA,4698,0,0.0
FBti0019055-RA,7604,0,0.0
FBti0019056-RA,186,0,0.0
FBti0019057-RA,5371,0,0.0
FBti0019058-RA,4721,0,0.0
FBti0019059-RA,5146,0,0.0
FBti0019060-RA,9199,0,0.0
FBti0019061-RA,7470,0,0.0
FBti0019062-RA,543,0,0.0
FBti0019063-RA,188,0,0.0
FBti0019064-RA,4226,0,0.0
FBti0019065-RA,1456,0,0.0
FBti0019066-RA,376,0,0.0
FBti0019067-RA,8292,0,0.0
FBti0019068-RA,9099,0,0.0
FBti0019069-RA,5520,0,0.0
FBti0019070-RA,340,0,0.0
FBti0019071-RA,186,0,0.0
FBti0019072-RA,5571,0,0.0
FBti0019073-RA,5029,0,0.0
FBti0019074-RA,216,1,0.004629629629629629
FBti0019075-RA,268,0,0.0
FBti0019076-RA,445,0,0.0
FBti0019077-RA,3241,0,0.0
FBti0019078-RA,2729,0,0.0
FBti0019079-RA,474,0,0.0
FBti0019080-RA,5254,0,0.0
FBti0019081-RA,1464,0,0.0
FBti0019082-RA,1907,0,0.0
FBti0019083-RA,8605,0,0.0
FBti0019084-RA,4718,0,0.0
FBti0019085-RA,1170,0,0.0
FBti0019086-RA,6862,0,0.0
FBti0019087-RA,186,0,0.0
FBti0019088-RA,7461,0,0.0
FBti0019089-RA,502,0,0.0
FBti0019090-RA,1624,0,0.0
FBti0019091-RA,1731,0,0.0
FBti0019472-RA,1044,11,0.01053639846743295
FBti0019473-RA,5368,0,0.0
FBti0019474-RA,1175,5,0.00425531914893617
FBti0019475-RA,354,2,0.005649717514124294
FBti0019476-RA,4183,47,0.011235955056179775
FBti0019480-RA,669,3,0.004484304932735426
FBti0019482-RA,597,2,0.0033500837520938024
FBti0019483-RA,661,4,0.006051437216338881
FBti0019484-RA,1084,6,0.005535055350553505
FBti0019485-RA,1075,2,0.0018604651162790699
FBti0019486-RA,1205,11,0.009128630705394191
FBti0019489-RA,369,0,0.0
FBti0019492-RA,1035,0,0.0
FBti0019493-RA,4431,98,0.022116903633491312
FBti0019494-RA,1060,11,0.010377358490566037
FBti0019495-RA,8526,0,0.0
FBti0019497-RA,598,0,0.0
FBti0019498-RA,1310,0,0.0
FBti0019499-RA,1728,0,0.0
FBti0019500-RA,1111,0,0.0
FBti0019501-RA,966,0,0.0
FBti0019502-RA,1076,0,0.0
FBti0019503-RA,422,0,0.0
FBti0019504-RA,3082,0,0.0
FBti0019507-RA,1039,0,0.0
FBti0019508-RA,838,0,0.0
FBti0019509-RA,1209,0,0.0
FBti0019510-RA,616,0,0.0
FBti0019511-RA,1402,0,0.0
FBti0019512-RA,221,0,0.0
FBti0019513-RA,435,0,0.0
FBti0019514-RA,466,0,0.0
FBti0019515-RA,2592,0,0.0
FBti0019516-RA,1132,0,0.0
FBti0019517-RA,740,58,0.07837837837837838
FBti0019518-RA,1012,0,0.0
FBti0019519-RA,3897,0,0.0
FBti0019520-RA,369,3,0.008130081300813009
FBti0019521-RA,7572,0,0.0
FBti0019522-RA,5029,0,0.0
FBti0019523-RA,6127,0,0.0
FBti0019524-RA,7505,0,0.0
FBti0019525-RA,5574,0,0.0
FBti0019526-RA,7734,0,0.0
FBti0019527-RA,1734,0,0.0
FBti0019528-RA,272,6,0.022058823529411766
FBti0019529-RA,863,11,0.012746234067207415
FBti0019530-RA,284,1,0.0035211267605633804
FBti0019531-RA,7576,0,0.0
FBti0019532-RA,8736,0,0.0
FBti0019534-RA,4722,0,0.0
FBti0019536-RA,263,0,0.0
FBti0019537-RA,1727,0,0.0
FBti0019538-RA,7411,0,0.0
FBti0019539-RA,9107,0,0.0
FBti0019540-RA,7515,0,0.0
FBti0019541-RA,7883,0,0.0
FBti0019542-RA,1446,0,0.0
FBti0019543-RA,8527,0,0.0
FBti0019544-RA,8295,0,0.0
FBti0019545-RA,7060,0,0.0
FBti0019546-RA,1086,0,0.0
FBti0019547-RA,8490,0,0.0
FBti0019548-RA,7353,0,0.0
FBti0019549-RA,186,0,0.0
FBti0019550-RA,3071,0,0.0
FBti0019551-RA,5249,0,0.0
FBti0019552-RA,7608,0,0.0
FBti0019553-RA,9091,0,0.0
FBti0019554-RA,6127,0,0.0
FBti0019555-RA,1346,0,0.0
FBti0019556-RA,9101,0,0.0
FBti0019557-RA,246,0,0.0
FBti0019558-RA,4709,0,0.0
FBti0019560-RA,748,0,0.0
FBti0019562-RA,567,0,0.0
FBti0019563-RA,7498,0,0.0
FBti0019564-RA,189,0,0.0
FBti0019565-RA,186,0,0.0
FBti0019566-RA,7576,0,0.0
FBti0019567-RA,6978,0,0.0
FBti0019568-RA,5145,0,0.0
FBti0019569-RA,267,0,0.0
FBti0019570-RA,5018,0,0.0
FBti0019571-RA,431,0,0.0
FBti0019572-RA,1194,0,0.0
FBti0019573-RA,350,0,0.0
FBti0019574-RA,7314,0,0.0
FBti0019576-RA,4724,0,0.0
FBti0019578-RA,7510,0,0.0
FBti0019579-RA,1173,0,0.0
FBti0019580-RA,3047,0,0.0
FBti0019581-RA,3887,0,0.0
FBti0019582-RA,3806,0,0.0
FBti0019583-RA,4721,0,0.0
FBti0019584-RA,186,0,0.0
FBti0019585-RA,186,0,0.0
FBti0019586-RA,5147,0,0.0
FBti0019587-RA,7376,0,0.0
FBti0019588-RA,2454,0,0.0
FBti0019589-RA,4697,0,0.0
FBti0019590-RA,5170,0,0.0
FBti0019591-RA,5701,0,0.0
FBti0019592-RA,8426,0,0.0
FBti0019593-RA,2965,0,0.0
FBti0019594-RA,424,0,0.0
FBti0019595-RA,1166,0,0.0
FBti0019596-RA,7333,0,0.0
FBti0019597-RA,9101,0,0.0
FBti0019598-RA,1433,0,0.0
FBti0019599-RA,379,0,0.0
FBti0019600-RA,233,0,0.0
FBti0019601-RA,1433,0,0.0
FBti0019602-RA,4235,0,0.0
FBti0019603-RA,2981,0,0.0
FBti0019604-RA,331,0,0.0
FBti0019605-RA,604,0,0.0
FBti0019606-RA,360,0,0.0
FBti0019608-RA,7452,0,0.0
FBti0019609-RA,1439,0,0.0
FBti0019610-RA,267,0,0.0
FBti0019611-RA,6995,0,0.0
FBti0019612-RA,5875,0,0.0
FBti0019613-RA,1006,0,0.0
FBti0019614-RA,7441,0,0.0
FBti0019615-RA,9092,0,0.0
FBti0019616-RA,7510,0,0.0
FBti0019617-RA,6996,0,0.0
FBti0019618-RA,1406,0,0.0
FBti0019619-RA,5079,0,0.0
FBti0019620-RA,7045,0,0.0
FBti0019621-RA,5019,0,0.0
FBti0019622-RA,7364,0,0.0
FBti0019623-RA,414,0,0.0
FBti0019624-RA,1435,0,0.0
FBti0019625-RA,7289,0,0.0
FBti0019626-RA,6413,0,0.0
FBti0019627-RA,186,0,0.0
FBti0019628-RA,7013,0,0.0
FBti0019629-RA,3104,0,0.0
FBti0019630-RA,7089,0,0.0
FBti0019631-RA,5370,0,0.0
FBti0019632-RA,1241,0,0.0
FBti0019633-RA,3845,0,0.0
FBti0019634-RA,647,0,0.0
